id,bank,bank_type,account,category,personal_or_business,bonus_amount,tier_mode,dd_required,dd_count,dd_min_each,dd_min_cumulative,dd_window_days,dd_window_starts,min_balance,debit_transactions,deadline,states_included,states_excluded,cooldown_months,pull_type,promo_code,confidence,last_verified,source_url
axos-basic-business-checking-200-2027,Axos Bank,online_bank,Basic Business Checking,business_checking,business,200,repeating,False,,,,,,3000,,2027-01-31,,,,unknown,START200,medium,2026-08-21,https://bankbonus.com/promotions/axos-bank/
axos-business-premium-savings-600-2027,Axos Bank,online_bank,Business Premium Savings + Basic Business Checking,business_checking,business,600,repeating,False,,1000,,30,account_open,50000,2,2027-01-31,,,12,soft,SBB600,medium,2026-08-21,https://www.doctorofcredit.com/axos-bank-600-business-checking-savings-bonus/
bmo-smart-advantage-checking-400-2026,BMO,regional_bank,Smart Advantage Checking,checking,personal,400,,True,,,4000,90,account_open,,,2026-09-08,AZ|CA|CO|FL|IA|IL|IN|MN|NM|NV|OR|UT|WA|WI,,12,unknown,,high,2026-08-21,https://www.bmo.com/en-us/main/personal/checking-accounts/digital-offer/
capital-one-360-checking-250-2026,Capital One,national_bank,360 Checking,checking,personal,250,,True,2,500,1000,75,account_open,,,,,,,soft,CHECKING250,high,2026-08-21,https://www.capitalone.com/bank/checking250/
capital-one-360-performance-savings-1500-2026,Capital One,national_bank,360 Performance Savings,savings,personal,1500,alternative,False,,,,,,20000,,,,,,soft,BONUS1500,medium,2026-08-21,https://www.doctorofcredit.com/capital-one-300-1500-savings-bonus-requires-20000-100000-deposit/
chase-business-complete-banking-500-2026,Chase,national_bank,Business Complete Banking,business_checking,business,500,alternative,False,,,,30,offer_enrollment,10000,5,2026-10-15,,,24,soft,,medium,2026-08-21,https://www.doctorofcredit.com/chase-business-checking-500-online-bonus-no-direct-deposit-required/
chase-platinum-business-checking-3000-2026,Chase,national_bank,Platinum Business Checking,business_checking,business,3000,,False,,,,60,offer_enrollment,300000,,2026-10-01,,,,unknown,,high,2026-08-21,https://www.chase.com/business/banking/checking
chase-savings-200-2026,Chase,national_bank,Chase Savings,savings,personal,200,,False,,,,,,15000,,2026-10-14,,,24,unknown,,medium,2026-08-21,https://www.doctorofcredit.com/targeted-chase-900-checking-savings-bonus/
chase-total-checking-400-2026,Chase,national_bank,Total Checking,checking,personal,400,,True,,,1000,90,coupon_enrollment,,,2026-10-14,,,24,unknown,,high,2026-08-21,https://account.chase.com/consumer/banking/seo
citi-checking-475-2026,Citibank,national_bank,Citi Checking,checking,personal,475,alternative,True,2,,3000,90,account_open,,,2026-10-22,,,12,soft,,medium,2026-08-21,https://www.doctorofcredit.com/citi-300-checking-bonus/
citi-checking-balance-1500-2026,Citibank,national_bank,Citi Checking,checking,personal,1500,alternative,False,,,,,,30000,,2026-10-22,,,12,soft,,medium,2026-08-21,https://www.doctorofcredit.com/citi-300-checking-bonus/
fifth-third-momentum-checking-300-2026,Fifth Third Bank,regional_bank,Momentum Checking,checking,personal,300,,True,,,500,90,account_open,,,2026-09-30,FL|GA|IL|IN|KY|MI|NC|OH|SC|TN|VA,,13,unknown,,medium,2026-08-21,https://www.53.com/content/fifth-third/en/mkg/checking-offer.html
fourleaf-fcu-free-checking-550-2026,FourLeaf Federal Credit Union,credit_union,FourLeaf Free Checking,checking,personal,550,additive,True,1,500,,90,account_open,,10,2026-12-31,,,,unknown,,high,2026-08-21,https://www.fourleaffcu.com/ppc/checking-promo-550/
huntington-perks-checking-600-2026,Huntington Bank,regional_bank,Perks Checking / Platinum Perks Checking,checking,personal,600,alternative,True,,,500,90,account_open,,,2026-09-30,AL|AR|CO|FL|GA|IL|IN|KY|LA|MI|MN|MS|MO|NC|OH|PA|SC|TN|TX|WV|WI,,24,unknown,,high,2026-08-21,https://www.huntington.com/checking-account-promotions-bonuses-offers
keybank-smart-checking-500-2026,KeyBank,regional_bank,Key Smart Checking / Key Select Checking,checking,personal,500,alternative,True,,,5000,90,account_open,,,2026-12-11,AK|CO|CT|ID|IN|MA|ME|MI|NY|OH|OR|PA|UT|VT|WA,,,unknown,,medium,2026-08-21,https://bankbonus.com/promotions/keybank/
mt-bank-mychoice-plus-checking-400-2026,M&T Bank,regional_bank,MyChoice Plus Checking,checking,personal,400,,True,,,500,90,account_open,,,2026-08-31,CT|DC|DE|MA|MD|ME|NH|NJ|NY|PA|VA|VT|WV,,12,unknown,TU,high,2026-08-21,https://campaigns.mtb.com/400bonus
pnc-virtual-wallet-performance-select-400-2026,PNC,national_bank,Virtual Wallet with Performance Select,checking,personal,400,alternative,True,,,5000,60,account_open,,,2026-08-31,,,24,unknown,,high,2026-08-21,https://www.pnc.com/en/personal-banking/banking/checking/bonus-offer.html
regions-lifegreen-checking-400-2026,Regions Bank,regional_bank,LifeGreen Checking,checking,personal,400,,True,,,1000,90,offer_enrollment,,,2027-01-31,AL|AR|FL|GA|IL|IN|IA|KY|LA|MS|MO|NC|SC|TN|TX,,12,unknown,EZV3F2M,medium,2026-08-21,https://www.regions.com/promo/pm/switch-to-regions?promo=EZV3F2M
sofi-checking-and-savings-400-2026,SoFi,online_bank,SoFi Checking and Savings,checking,personal,400,alternative,True,,1,5000,25,first_deposit,,,2026-12-31,,,,soft,,high,2026-08-21,https://www.sofi.com/banking/checking-offer/
td-complete-checking-300-2026,TD Bank,regional_bank,TD Complete Checking / TD Beyond Checking,checking,personal,300,alternative,True,,,2500,60,account_open,,,2026-09-30,CT|DC|DE|FL|MD|ME|MA|NC|NH|NJ|NY|PA|RI|SC|VT|VA,,12,unknown,,high,2026-08-21,https://www.td.com/us/en/personal-banking/checking-and-saving-bonus
